season,week,home_team,away_team,home_conference,away_conference,home_score,away_score,spread,over_under,home_moneyline,away_moneyline,actual_margin,total_points,home_covered,over_hit,spread_error,spread_group
2020,11,Florida,Arkansas,SEC,SEC,63,35,-17.0,62.0,,,28,98,True,True,45.0,Big Home Favorite
2020,12,Air Force,New Mexico,Mountain West,Mountain West,28,0,-8.0,55.5,,,28,28,True,False,36.0,Small Home Favorite
2020,12,Alabama,Kentucky,SEC,SEC,63,3,-31.5,57.5,,,60,66,True,True,91.5,Big Home Favorite
2020,12,Ohio State,Indiana,Big Ten,Big Ten,42,35,-21.0,67.5,,,7,77,True,True,28.0,Big Home Favorite
2020,12,Arkansas,LSU,SEC,SEC,24,27,1.5,65.0,,,-3,51,False,False,-4.5,Small Home Underdog
2020,11,Rutgers,Illinois,Big Ten,Big Ten,20,23,-5.5,51.5,,,-3,43,True,False,2.5,Small Home Favorite
2020,12,Utah,USC,Pac-12,Pac-12,17,33,-1.0,59.0,,,-16,50,False,False,-15.0,Small Home Favorite
2020,12,Oregon,UCLA,Pac-12,Pac-12,38,35,-17.5,61.5,,,3,73,True,True,20.5,Big Home Favorite
2020,12,Central Michigan,Western Michigan,Mid-American,Mid-American,44,52,1.0,59.5,,,-8,96,False,True,-9.0,Small Home Underdog
2020,12,Eastern Michigan,Toledo,Mid-American,Mid-American,28,45,6.5,62.0,,,-17,73,False,True,-23.5,Small Home Underdog
2020,12,Florida Atlantic,Massachusetts,Conference USA,FBS Independents,24,2,-34.0,50.5,,,22,26,True,False,56.0,Big Home Favorite
2020,12,Oklahoma,Oklahoma State,Big 12,Big 12,41,13,-6.5,60.5,,,28,54,True,False,34.5,Small Home Favorite
2020,12,Washington,Arizona,Pac-12,Pac-12,44,27,-12.0,53.5,,,17,71,True,True,29.0,Small Home Favorite
2020,7,Tulane,SMU,American Athletic,American Athletic,34,37,6.5,65.0,,,-3,71,False,True,-9.5,Small Home Underdog
2020,3,Cincinnati,Austin Peay,American Athletic,OVC,55,20,-39.5,54.0,,,35,75,True,True,74.5,Big Home Favorite
2020,10,Cincinnati,Houston,American Athletic,American Athletic,38,10,-12.5,51.5,,,28,48,True,False,40.5,Small Home Favorite
2020,2,North Carolina,Syracuse,ACC,ACC,31,6,-24.0,66.5,,,25,37,True,False,49.0,Big Home Favorite
2020,3,Duke,Boston College,ACC,ACC,6,26,-3.5,50.5,,,-20,32,False,False,-16.5,Small Home Favorite
2020,3,Pittsburgh,Syracuse,ACC,ACC,21,10,-21.0,47.0,,,11,31,True,False,32.0,Big Home Favorite
2020,1,Navy,BYU,American Athletic,FBS Independents,3,55,1.0,48.5,,,-52,58,False,True,-53.0,Small Home Underdog
2020,4,Syracuse,Georgia Tech,ACC,ACC,37,20,7.5,52.0,,,17,57,True,True,9.5,Small Home Underdog
2020,4,Pittsburgh,Louisville,ACC,ACC,23,20,-2.5,53.5,,,3,43,True,False,5.5,Small Home Favorite
2020,5,Pittsburgh,NC State,ACC,ACC,29,30,-14.0,46.0,,,-1,59,True,True,13.0,Big Home Favorite
2020,7,Syracuse,Liberty,ACC,FBS Independents,21,38,3.0,54.5,,,-17,59,False,True,-20.0,Small Home Underdog
2020,8,Boston College,Georgia Tech,ACC,ACC,48,27,-3.5,57.5,,,21,75,True,True,24.5,Small Home Favorite
